LSOA11_CD,trips_per_day
E01000813,2100.00
E01000815,1021.00
E01000816,1115.00
E01000818,283.00
E01000819,4329.00
E01000820,1413.00
E01000822,1008.00
E01000823,1376.00
E01000824,4848.00
E01000825,792.00
E01000826,598.00
E01000827,2863.00
E01000828,5783.00
E01000829,1254.00
E01000830,4085.00
E01000831,2092.00
E01000832,1282.00
E01000833,130.00
E01000834,846.00
E01000835,2834.00
E01000837,440.00
E01000838,974.00
E01000840,2305.00
E01000841,1029.00
E01000843,714.00
E01000844,1633.00
E01000845,2518.00
E01000846,1448.00
E01000847,1448.00
E01000848,555.00
E01000849,3074.00
E01000850,4393.00
E01000851,7701.00
E01000852,15621.00
E01000854,8967.00
E01000855,10428.00
E01000856,10591.00
E01000858,5018.00
E01000860,594.00
E01000861,6328.00
E01000862,893.00
E01000863,15137.00
E01000864,1482.00
E01000865,6302.00
E01000866,4191.00
E01000867,3448.00
E01000868,1185.00
E01000869,4753.00
E01000870,3586.00
E01000871,5350.00
E01000872,4690.00
E01000873,714.00
E01000874,2139.00
E01000875,5048.00
E01000877,2369.00
E01000878,1598.00
E01000879,353.00
E01000881,1888.00
E01000882,895.00
E01000883,4899.00
E01000884,3415.00
E01000886,1072.00
E01000887,2062.00
E01000888,1743.00
E01000890,1361.00
E01000891,673.00
E01000892,1749.00
E01000895,4633.00
E01000896,1455.00
E01000897,357.00
E01000898,8123.00
E01000899,3786.00
E01000900,1361.00
E01000901,570.00
E01000902,560.00
E01000903,688.00
E01000904,1223.00
E01000905,3046.00
E01000906,4835.00
E01000907,832.00
E01000908,1428.00
E01000909,1490.00
E01000910,2264.00
E01000911,948.00
E01000912,4904.00
E01000913,8968.00
E01000914,37902.00
E01000916,8318.00
E01000917,2133.00
E01000918,14657.00
E01000919,10838.00
E01000920,992.00
E01000921,12822.00
E01000923,221.00
E01000924,1019.00
E01000925,211.00
E01000926,2631.00
E01000927,3071.00
E01000928,5168.00
E01000929,2720.00
E01000930,2444.00
E01000931,8315.00
E01000932,1052.00
E01000933,6042.00
E01000934,734.00
E01000935,1386.00
E01000936,2148.00
E01000938,5547.00
E01000939,8962.00
E01000940,1536.00
E01000942,5817.00
E01000943,1377.00
E01000944,399.00
E01000945,19397.00
E01000946,11630.00
E01000947,14522.00
E01000948,2216.00
E01000949,407.00
E01000950,1668.00
E01000953,12752.00
E01000954,1442.00
E01000956,4718.00
E01000957,595.00
E01000958,1776.00
E01000959,4895.00
E01000960,4410.00
E01000961,2057.00
E01000962,356.00
E01000963,7251.00
E01000964,358.00
E01000965,2139.00
E01000966,356.00
E01000968,2851.00
E01000969,7466.00
